category,authorLocation,requiredFunding,targetAudience,success
infrastructure,coastal,28384,tourists commuters smes developers smes commuters patients tourists farmers patients smes developers commuters farmers farmers smes developers seniors farmers parents parents youth parents teachers smes tourists youth patients tourists tourists,1
technology,suburban,244501,youth farmers parents,1
healthcare,unknown,286229,youth youth farmers teachers commuters smes farmers farmers patients patients tourists farmers parents commuters patients developers commuters tourists youth farmers tourists teachers patients commuters teachers youth patients smes youth tourists,1
technology,coastal,223447,parents patients developers teachers tourists tourists commuters seniors parents tourists developers seniors parents commuters teachers smes youth developers youth seniors developers teachers developers patients commuters developers developers parents commuters patients,1
technology,coastal,86696,developers smes smes,1
technology,unknown,240990,farmers patients smes teachers farmers seniors parents teachers developers seniors developers commuters farmers commuters developers patients tourists developers smes parents youth parents seniors patients youth commuters tourists teachers seniors parents,1
infrastructure,inland,88767,teachers developers tourists farmers seniors parents smes developers teachers commuters commuters developers commuters developers seniors farmers commuters parents developers patients commuters developers developers seniors commuters parents teachers developers teachers patients,1
agriculture,urban,121326,seniors farmers seniors seniors seniors patients youth seniors developers smes farmers tourists parents parents seniors developers patients farmers developers developers,1
agriculture,rural,59430,developers patients patients youth commuters youth patients smes teachers seniors youth smes youth patients developers commuters patients commuters patients developers,1
other,unknown,296536,teachers teachers developers,0
agriculture,rural,118030,patients commuters tourists tourists parents tourists smes tourists parents teachers teachers tourists smes youth seniors teachers teachers commuters tourists developers tourists developers commuters developers developers patients developers patients seniors parents,1
education,unknown,267577,farmers patients commuters patients smes farmers patients teachers developers teachers,0
infrastructure,urban,267737,patients parents developers teachers parents patients parents farmers developers seniors farmers commuters farmers smes youth developers parents smes teachers commuters,1
education,suburban,191769,smes teachers commuters tourists patients tourists tourists commuters smes youth,1
agriculture,inland,55222,farmers seniors parents seniors teachers tourists patients farmers seniors developers commuters teachers farmers teachers developers seniors smes developers tourists teachers,1
agriculture,unknown,145314,farmers teachers patients parents farmers seniors patients smes smes tourists patients parents commuters teachers farmers tourists smes commuters tourists parents,1
agriculture,urban,238537,youth tourists tourists patients youth smes farmers parents commuters patients farmers tourists parents tourists parents youth seniors patients teachers tourists seniors commuters commuters smes developers parents developers parents commuters seniors,1
